ugyfel_id;nev;cím
U001;Czingár Béla;1181 Budapest  Baross u. 112
U002;Balogh Zoltán;1182 Budapest  Üllői út 234
U003;Borsó Bálint;1181 Budapest Dobozi u. 23
U004;Kétházi Károly;1202 Budapest Fő u. 2
U005;Kis Lajos;2360 Gyál Piac tér 1
U006;Kiss Lajos;2220 Vecsés Káposzta u. 1
U007;Dupla Dezső;2040 Budaörs Őv u. 2
U008;Kocsis Mária;2220 Vecsés Káposzta u. 3
U009;Kovács István;2360 Gyál Jókai u. 3
U011;Lakatos Ede;1201 Budapest Alma u. 1
U012;Nagy Éva;1181 Budapest  Kossuth u. 34
U013;Varga Zoltán;1182 Budapest Dolgozó út 2. I em. 1.
U014;Kis Lajos;1201 Budapest Erzsébet tér 2. fszt 1.
U015;Borsós Zoltán;1181 Budapest Kossuth tér 5
U016;Karácsony Zoltán;1201 Budapest Nap u. 2
U017;Balogh Zoltán;1182 Budapest Üllői út 233
U018;Kis Vilmos;1181 Budapest Baross u. 63
U019;Kis Lajos;1201 Budapest Erzsébet tér 2. fszt 2.
